((7, 34), 0.29200000000000004)
((8, 35), 0.29200000000000004)
((8, 36), 0.29200000000000004)
((9, 13), 0.29200000000000004)
((13, 19), 0.29200000000000004)
((5, 39), 0.29600000000000004)
((5, 41), 0.29600000000000004)
((5, 43), 0.29600000000000004)
((7, 8), 0.29600000000000004)
((7, 14), 0.29600000000000004)
((9, 24), 0.29600000000000004)
((13, 17), 0.29600000000000004)
((14, 19), 0.29600000000000004)
((2, 7), 0.30000000000000004)
((5, 40), 0.30000000000000004)
((5, 45), 0.30000000000000004)
((5, 54), 0.30000000000000004)
((5, 56), 0.30000000000000004)
((5, 57), 0.30000000000000004)
((6, 10), 0.30000000000000004)
((7, 11), 0.30000000000000004)
((7, 38), 0.30000000000000004)
((7, 40), 0.30000000000000004)
((7, 52), 0.30000000000000004)
((8, 16), 0.30000000000000004)
((8, 20), 0.30000000000000004)
((9, 34), 0.30000000000000004)
((3, 27), 0.30400000000000005)
((5, 51), 0.30400000000000005)
((6, 30), 0.30400000000000005)
((11, 13), 0.30400000000000005)
((15, 19), 0.30400000000000005)
((4, 50), 0.30800000000000005)
((7, 15), 0.30800000000000005)
((7, 45), 0.30800000000000005)
((8, 15), 0.30800000000000005)
((8, 33), 0.30800000000000005)
((8, 40), 0.30800000000000005)
((9, 33), 0.30800000000000005)
((11, 45), 0.30800000000000005)
((16, 19), 0.30800000000000005)
((6, 17), 0.31200000000000006)
((6, 42), 0.31200000000000006)
((7, 9), 0.31200000000000006)
((7, 16), 0.31200000000000006)
((7, 18), 0.31200000000000006)
((7, 19), 0.31200000000000006)
((10, 16), 0.31200000000000006)
((6, 28), 0.31599999999999995)
((7, 43), 0.31599999999999995)
((9, 36), 0.31599999999999995)
((13, 20), 0.31599999999999995)
((15, 20), 0.31599999999999995)
((6, 35), 0.31999999999999995)
((7, 28), 0.31999999999999995)
((7, 55), 0.31999999999999995)
((8, 19), 0.31999999999999995)
((9, 30), 0.31999999999999995)
((13, 30), 0.31999999999999995)
((17, 46), 0.31999999999999995)
((5, 48), 0.32399999999999995)
((9, 42), 0.32399999999999995)
((13, 22), 0.32399999999999995)
((6, 18), 0.32799999999999996)
((7, 24), 0.32799999999999996)
((7, 53), 0.32799999999999996)
((5, 49), 0.33199999999999996)
((6, 11), 0.33199999999999996)
((6, 31), 0.33199999999999996)
((9, 31), 0.33199999999999996)
((9, 44), 0.33199999999999996)
((10, 20), 0.33199999999999996)
((12, 35), 0.33199999999999996)
((5, 50), 0.33599999999999997)
((6, 7), 0.33599999999999997)
((7, 57), 0.33599999999999997)
((9, 22), 0.33599999999999997)
((13, 28), 0.33599999999999997)
((7, 10), 0.33999999999999997)
((7, 20), 0.33999999999999997)
((7, 33), 0.33999999999999997)
((7, 41), 0.33999999999999997)
((8, 42), 0.33999999999999997)
((9, 40), 0.33999999999999997)
((10, 22), 0.33999999999999997)
((10, 33), 0.33999999999999997)
((0, 9), 0.344)
((6, 14), 0.344)
((6, 38), 0.344)
((7, 36), 0.344)
((8, 41), 0.344)
((9, 35), 0.344)
((6, 23), 0.348)
((7, 17), 0.348)
((7, 30), 0.348)
((10, 30), 0.348)
((11, 20), 0.348)
((11, 30), 0.348)
((13, 27), 0.348)
((6, 53), 0.352)
((8, 44), 0.352)
((8, 48), 0.352)
((10, 31), 0.352)
((15, 22), 0.352)
((18, 20), 0.352)
((6, 46), 0.356)
((6, 56), 0.356)
((9, 41), 0.356)
((11, 22), 0.356)
((14, 20), 0.356)
((5, 47), 0.36)
((5, 52), 0.36)
((6, 20), 0.36)
((6, 27), 0.36)
((7, 42), 0.36)
((8, 38), 0.36)
((8, 57), 0.36)
((13, 23), 0.36)
((6, 39), 0.364)
((6, 44), 0.364)
((7, 31), 0.364)
((7, 39), 0.364)
((7, 56), 0.364)
((7, 58), 0.364)
((8, 54), 0.364)
((8, 56), 0.364)
((9, 48), 0.364)
((6, 57), 0.368)
((7, 48), 0.368)
((8, 49), 0.368)
((8, 50), 0.368)
((8, 58), 0.368)
((9, 52), 0.368)
((13, 24), 0.368)
((13, 35), 0.368)
((16, 22), 0.368)
((5, 21), 0.372)
((6, 34), 0.372)
((7, 44), 0.372)
((8, 27), 0.372)
((9, 43), 0.372)
((9, 46), 0.372)
((13, 44), 0.372)
((15, 33), 0.372)
((6, 40), 0.376)
((6, 54), 0.376)
((11, 36), 0.376)
((6, 24), 0.38)
((9, 38), 0.38)
((9, 39), 0.38)
((10, 40), 0.38)
((12, 22), 0.38)
((2, 23), 0.384)
((7, 49), 0.384)
((9, 49), 0.384)
((15, 30), 0.384)
((6, 48), 0.388)
((7, 23), 0.388)
((7, 51), 0.388)
((8, 43), 0.388)
((9, 58), 0.388)
((11, 33), 0.388)
((13, 33), 0.388)
((18, 22), 0.388)
((6, 41), 0.392)
((8, 53), 0.392)
((10, 27), 0.392)
((10, 48), 0.392)
((14, 30), 0.392)
((6, 52), 0.396)
((8, 45), 0.396)
((8, 51), 0.396)
((9, 50), 0.396)
((6, 43), 0.4)
((8, 24), 0.4)
((9, 51), 0.4)
((13, 31), 0.4)
((16, 20), 0.4)
((9, 54), 0.404)
((11, 38), 0.404)
((13, 51), 0.404)
((14, 22), 0.404)
((6, 45), 0.40800000000000003)
((8, 31), 0.40800000000000003)
((9, 57), 0.40800000000000003)
((2, 45), 0.41200000000000003)
((6, 47), 0.41200000000000003)
((6, 50), 0.41200000000000003)
((6, 51), 0.41200000000000003)
((7, 50), 0.41200000000000003)
((9, 53), 0.41200000000000003)
((9, 56), 0.41200000000000003)
((14, 33), 0.41200000000000003)
((15, 27), 0.41200000000000003)
((15, 31), 0.41200000000000003)
((17, 20), 0.41200000000000003)
((6, 36), 0.41600000000000004)
((6, 58), 0.41600000000000004)
((7, 47), 0.41600000000000004)
((7, 54), 0.41600000000000004)
((9, 27), 0.41600000000000004)
((10, 34), 0.41600000000000004)
((13, 21), 0.41600000000000004)
((13, 38), 0.41600000000000004)
((13, 49), 0.41600000000000004)
((15, 42), 0.41600000000000004)
((16, 33), 0.41600000000000004)
((17, 22), 0.41600000000000004)
((9, 45), 0.42000000000000004)
((10, 38), 0.42000000000000004)
((10, 57), 0.42000000000000004)
((11, 35), 0.42000000000000004)
((13, 58), 0.42000000000000004)
((15, 34), 0.42000000000000004)
((15, 36), 0.42000000000000004)
((10, 41), 0.42400000000000004)
((12, 34), 0.42400000000000004)
((10, 56), 0.42800000000000005)
((14, 34), 0.42800000000000005)
((15, 48), 0.42800000000000005)
((8, 52), 0.43200000000000005)
((10, 44), 0.43200000000000005)
((11, 23), 0.43200000000000005)
((11, 48), 0.43200000000000005)
((16, 36), 0.43200000000000005)
((11, 27), 0.43600000000000005)
((13, 41), 0.43600000000000005)
((3, 12), 0.43999999999999995)
((10, 35), 0.43999999999999995)
((11, 40), 0.43999999999999995)
((11, 42), 0.43999999999999995)
((11, 56), 0.43999999999999995)
((14, 31), 0.43999999999999995)
((19, 20), 0.43999999999999995)
((9, 47), 0.44399999999999995)
((11, 41), 0.44399999999999995)
((13, 47), 0.44399999999999995)
((13, 55), 0.44399999999999995)
((15, 35), 0.44399999999999995)
((15, 45), 0.44399999999999995)
((6, 49), 0.44799999999999995)
((10, 42), 0.44799999999999995)
((12, 30), 0.44799999999999995)
((12, 52), 0.44799999999999995)
((13, 34), 0.44799999999999995)
((13, 40), 0.44799999999999995)
((13, 54), 0.44799999999999995)
((16, 35), 0.44799999999999995)
((10, 24), 0.45199999999999996)
((10, 50), 0.45199999999999996)
((15, 54), 0.45199999999999996)
((19, 22), 0.45199999999999996)
((10, 49), 0.45599999999999996)
((11, 24), 0.45599999999999996)
((12, 31), 0.45599999999999996)
((13, 36), 0.45599999999999996)
((13, 46), 0.45599999999999996)
((13, 53), 0.45599999999999996)
((15, 52), 0.45599999999999996)
((16, 27), 0.45599999999999996)
((17, 33), 0.45599999999999996)
((10, 46), 0.45999999999999996)
((11, 44), 0.45999999999999996)
((12, 39), 0.45999999999999996)
((12, 44), 0.45999999999999996)
((15, 38), 0.45999999999999996)
((6, 12), 0.46399999999999997)
((10, 36), 0.46399999999999997)
((11, 12), 0.46399999999999997)
